source_id,product_name,brand,unit,category_canonical,country,price_text,price_amount,price_currency,generated_text,generation_origin,base_decision
10,Aceites y vinagres,123,1L,aceite vegetal,MX,"$37,00",37.0,MXN,"Aprovecha Aceites y vinagres de 123 (1L) por $37,00 en MX. Aceite 123 Vegetal te ayuda a preparar tus alimentos de una manera más sana ya que por su origen vegetal en el contiene colesterol, ademas intensifica el sabor de los ingredientes que uses al cocinar.",original,keep
10,Aceites y vinagres,123,1L,aceite vegetal,MX,"$37,00",37.0,MXN,"Descubre Aceites y vinagres de 123 (1L) por $37,00 en MX. Aceite 123 Vegetal te ayuda a preparar tus alimentos de una manera más sana ya que por su origen vegetal en el contiene colesterol, ademas intensifica el sabor de los ingredientes que uses al cocinar.",original,keep
6,Aceites y vinagres,Nutrioli,700ml,aceite vegetal,MX,"$33,30",33.3,MXN,"Aprovecha Aceites y vinagres de Nutrioli (700ml) por $33,30 en MX. Nutrioli Antiguoteo, con tapa dosificadora para mayor control y limpieza, es un aceite100% puro con Omegas 3, 6 y 9 que favorece la salud cardiovascular, por su origen vegetal no contiene colestero y contiene vitamina Y, ideal para cocinar de manera práctica y sencilla",category_country_mean,discard
6,Aceites y vinagres,Nutrioli,700ml,aceite vegetal,MX,"$33,30",33.3,MXN,"Disfruta Aceites y vinagres de Nutrioli (700ml) por $33,30 en MX. Nutrioli Antiguoteo, con tapa dosificadora para mayor control y limpieza, es un aceite100% puro con Omegas 3, 6 y 9 que favorece la salud cardiovascular, por su origen vegetal no contiene colestero y contiene vitamina Y, ideal para cocinar de manera práctica y sencilla",category_country_mean,discard
7,Aceites y vinagres,Aceite Chedraui Mixto 800ml,800ml,aceite vegetal,MX,"$28,00",28.0,MXN,"Aprovecha Aceites y vinagres de Aceite Chedraui Mixto 800ml (800ml) por $28,00 en MX. Aceite vegetal comestible | Consérvese en un lugar fresco | Ideal para freír",original,keep
7,Aceites y vinagres,Aceite Chedraui Mixto 800ml,800ml,aceite vegetal,MX,"$28,00",28.0,MXN,"Disfruta Aceites y vinagres de Aceite Chedraui Mixto 800ml (800ml) por $28,00 en MX. Aceite vegetal comestible | Consérvese en un lugar fresco | Ideal para freír",original,keep
8,Aceites y vinagres,Patrona,1 L,aceite vegetal,MX,"$33,30",33.3,MXN,"Disfruta Aceites y vinagres de Patrona (1 L) por $33,30 en MX. Resalta el sabor y la textura de los alimentos",category_country_mean,discard
8,Aceites y vinagres,Patrona,1 L,aceite vegetal,MX,"$33,30",33.3,MXN,"Encuentra Aceites y vinagres de Patrona (1 L) por $33,30 en MX. Resalta el sabor y la textura de los alimentos",category_country_mean,discard
1605,Alimentos básicos,Frijoles,1 Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Encuentra Alimentos básicos de Frijoles (1 Kg) por $1,02 en UNKNOWN.",category_mean,discard
1605,Alimentos básicos,Frijoles,1 Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Consigue Alimentos básicos de Frijoles (1 Kg) por $1,02 en UNKNOWN.",category_mean,discard
1606,Alimentos básicos,Frijoles,1Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Aprovecha Alimentos básicos de Frijoles (1Kg) por $1,02 en UNKNOWN.",category_mean,discard
1606,Alimentos básicos,Frijoles,1Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Encuentra Alimentos básicos de Frijoles (1Kg) por $1,02 en UNKNOWN.",category_mean,discard
1608,Alimentos básicos,Frijoles,1 Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Descubre Alimentos básicos de Frijoles (1 Kg) por $1,02 en UNKNOWN.",category_mean,discard
1608,Alimentos básicos,Frijoles,1 Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Encuentra Alimentos básicos de Frijoles (1 Kg) por $1,02 en UNKNOWN.",category_mean,discard
1610,Alimentos básicos,Frijoles,1Kg,frijoles,UNKNOWN,"$1,02",1.02,,"Aprovecha Alimentos básicos de Frijoles (1Kg) por $1,02 en UNKNOWN.",category_mean,discard
