producto_id,retailer_id,retailer,retailer_country,categoria_id,category_raw,category_canonical,category_is_imputed,nombre_producto,marca,unidad,product_country,moneda_local,precio_local,precio_usd,precio_usd_clean,fx_local_per_usd,is_imputed_clean,decision,razon_clean,precio_usd_model,is_price_imputed_model,imputation_source,precio_median_group,precio_usd_imputed
1,1,Desconocido,UNKNOWN,1,azucar,sin_categoria,True,$ 12.800,Ver detalles del producto,15G,UNKNOWN,LOCAL,12.8,12.8,12.8,1.0,False,keep_imputed,no_category_detected,12.8,False,original_clean,,
2,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 10),$ 8.650,0.2 g,UNKNOWN,LOCAL,10.0,10.0,10.0,1.0,False,keep_imputed,no_category_detected,10.0,False,original_clean,,
3,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 10),20,480G,UNKNOWN,LOCAL,10.0,10.0,10.0,1.0,False,keep_imputed,no_category_detected,10.0,False,original_clean,,
4,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 10),20,NaN,UNKNOWN,LOCAL,10.0,10.0,10.0,1.0,False,keep_imputed,no_category_detected,10.0,False,original_clean,,
5,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 11),$ 6.700,NaN,UNKNOWN,LOCAL,11.0,11.0,11.0,1.0,False,keep_imputed,no_category_detected,11.0,False,original_clean,,
6,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 12),$ 7.150,NaN,UNKNOWN,LOCAL,12.0,12.0,12.0,1.0,False,keep_imputed,no_category_detected,12.0,False,original_clean,,
7,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 19),$ 39.000,NaN,UNKNOWN,LOCAL,19.0,19.0,19.0,1.0,False,keep_imputed,no_category_detected,19.0,False,original_clean,,
13,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 4),$ 4.680,NaN,UNKNOWN,LOCAL,4.0,4.0,4.0,1.0,False,keep_imputed,no_category_detected,4.0,False,original_clean,,
14,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 4),$ 10.650,NaN,UNKNOWN,LOCAL,4.0,4.0,4.0,1.0,False,keep_imputed,no_category_detected,4.0,False,original_clean,,
15,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 4),19,NaN,UNKNOWN,LOCAL,4.0,4.0,4.0,1.0,False,keep_imputed,no_category_detected,4.0,False,original_clean,,
16,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 4),10,NaN,UNKNOWN,LOCAL,4.0,4.0,4.0,1.0,False,keep_imputed,no_category_detected,4.0,False,original_clean,,
17,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 4),$ 2.100,NaN,UNKNOWN,LOCAL,4.0,4.0,4.0,1.0,False,keep_imputed,no_category_detected,4.0,False,original_clean,,
23,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 9),$ 9.980,NaN,UNKNOWN,LOCAL,9.0,9.0,9.0,1.0,False,keep_imputed,no_category_detected,9.0,False,original_clean,,
25,1,Desconocido,UNKNOWN,4,aceite vegetal,sin_categoria,True,(Ml a $ 3),$ 17.040,NaN,UNKNOWN,LOCAL,3.0,3.0,3.0,1.0,False,keep_imputed,no_category_detected,3.0,False,original_clean,,
26,1,Desconocido,UNKNOWN,4,aceite vegetal,sin_categoria,True,(Ml a $ 5),$ 4.900,NaN,UNKNOWN,LOCAL,5.0,5.0,5.0,1.0,False,keep_imputed,no_category_detected,5.0,False,original_clean,,
27,1,Desconocido,UNKNOWN,4,aceite vegetal,sin_categoria,True,(Ml a $ 6),$ 40.800,1100ml,UNKNOWN,LOCAL,6.0,6.0,6.0,1.0,False,keep_imputed,no_category_detected,6.0,False,original_clean,,
28,1,Desconocido,UNKNOWN,1,azucar,sin_categoria,True,(Und a $ 1.312),20,NaN,UNKNOWN,LOCAL,1.31,1.31,1.31,1.0,False,keep_imputed,no_category_detected,1.31,False,original_clean,,
29,1,Desconocido,UNKNOWN,5,leche,sin_categoria,True,(Und a $ 1.540),$ 1.540,NaN,UNKNOWN,LOCAL,1.54,1.54,1.54,1.0,False,keep_imputed,no_category_detected,1.54,False,original_clean,,
36,1,Desconocido,UNKNOWN,6,papa,sin_categoria,True,+595994 874276,Selecciona método de entrega,2 LT,UNKNOWN,LOCAL,2.0,2.0,2.0,1.0,False,keep_imputed,no_category_detected,2.0,False,original_clean,,
39,2,Chedraui,MX,7,aceite vegetal,aceite vegetal,False,Aceites y vinagres,123,1L,MX,LOCAL,37.0,1.9871,1.9871,18.62,False,keep,heuristic_default,1.9871,False,original_clean,,
41,2,Chedraui,MX,7,aceite vegetal,aceite vegetal,False,Aceites y vinagres,Aceite Chedraui Mixto 800ml,800ml,MX,LOCAL,28.0,1.5038,1.5038,18.62,False,keep,heuristic_default,1.5038,False,original_clean,,
43,3,Desconocido,BR,8,huevo,sin_categoria,True,"Al continuar navegando, usted acepta con nuestra",Política de privacidad,12 unidades,BR,LOCAL,20.0,3.6711,3.6711,5.448,False,keep_imputed,no_category_detected,3.6711,False,original_clean,,
47,3,Desconocido,BR,10,arroz,arroz,False,Alimentos básicos,Arroz,5Kg,BR,LOCAL,19.49,3.5775,3.5775,5.448,False,keep,heuristic_default,3.5775,False,original_clean,,
48,3,Desconocido,BR,10,arroz,arroz,False,Alimentos básicos,Arroz,2Kg,BR,LOCAL,11.99,2.2008,2.2008,5.448,False,keep,heuristic_default,2.2008,False,original_clean,,
49,3,Desconocido,BR,10,arroz,arroz,False,Alimentos básicos,Arroz,5 kg,BR,LOCAL,16.59,3.0452,3.0452,5.448,False,keep,heuristic_default,3.0452,False,original_clean,,
50,3,Desconocido,BR,11,frijoles,sin_categoria,True,Alimentos básicos,Cafés,40g,BR,LOCAL,8.89,1.6318,1.6318,5.448,False,keep_imputed,no_category_detected,1.6318,False,original_clean,,
53,3,Desconocido,BR,9,frijoles,frijoles,False,Alimentos básicos,Frijoles,1 kg,BR,LOCAL,6.89,1.2647,1.2647,5.448,False,keep,heuristic_default,1.2647,False,original_clean,,
54,1,Desconocido,UNKNOWN,10,arroz,arroz,False,App Frecuento,Descárgala gratis,330ml,UNKNOWN,LOCAL,7.45,7.45,7.45,1.0,False,keep,heuristic_default,7.45,False,original_clean,,
55,4,Desconocido,US,10,arroz,arroz,False,ARROZ CONEJO SACO 20 LB,Comparar,20 LB,US,LOCAL,9.99,9.99,9.99,1.0,False,keep,heuristic_default,9.99,False,original_clean,,
58,1,Desconocido,UNKNOWN,10,arroz,arroz,False,Arroz G1 largo ancho bolsa,1 Kg,1 Kg,UNKNOWN,LOCAL,1.89,1.89,1.89,1.0,False,keep,heuristic_default,1.89,False,original_clean,,
59,1,Desconocido,UNKNOWN,10,arroz,arroz,False,Arroz G2 gran selección ancha,1 Kg,1 Kg,UNKNOWN,LOCAL,1.37,1.37,1.37,1.0,False,keep,heuristic_default,1.37,False,original_clean,,
60,1,Desconocido,UNKNOWN,10,arroz,arroz,False,Arroz G2 largo delgado,1 Kg,1 Kg,UNKNOWN,LOCAL,1.02,1.02,1.02,1.0,False,keep,heuristic_default,1.02,False,original_clean,,
61,1,Desconocido,UNKNOWN,10,arroz,arroz,False,Arroz grano largo delgado grad...,900 g,900 g,UNKNOWN,LOCAL,1.39,1.39,1.39,1.0,False,keep,heuristic_default,1.39,False,original_clean,,
62,2,Chedraui,MX,10,arroz,arroz,False,Arroz La Merced Super Extra 900g,La Merced,900g,MX,LOCAL,21.0,1.1278,1.1278,18.62,False,keep,heuristic_default,1.1278,False,original_clean,,
63,4,Desconocido,US,10,arroz,arroz,False,ARROZ REAL 2 KG,Comparar,2 KG,US,LOCAL,2.99,2.99,2.99,1.0,False,keep,heuristic_default,2.99,False,original_clean,,
64,2,Chedraui,MX,10,arroz,arroz,False,Arroz Schettino Verde 900g,Schettino,900g,MX,LOCAL,19.8,1.0634,1.0634,18.62,False,keep,heuristic_default,1.0634,False,original_clean,,
83,3,Desconocido,BR,13,azucar,azucar,False,Azúcar Mascavo Orgánico Native Organic 500 G,Descripción,500 G,BR,LOCAL,15.99,2.935,2.935,5.448,False,keep,heuristic_default,2.935,False,original_clean,,
86,3,Desconocido,BR,13,azucar,azucar,False,Azúcar y Adoçante,Azúcar,1Kg,BR,LOCAL,10.19,1.8704,1.8704,5.448,False,keep,heuristic_default,1.8704,False,original_clean,,
88,6,Desconocido,PE,13,azucar,azucar,False,Azúcar y Endulzantes,Azúcar Rubia,25 Kg,PE,LOCAL,16.92,4.7662,4.7662,3.55,False,keep,heuristic_default,4.7662,False,original_clean,,
90,1,Desconocido,UNKNOWN,12,cebolla,cebolla,False,BANANO UNIDAD,Unidades disponibles,1000 G,UNKNOWN,LOCAL,1.0,1.0,1.0,1.0,False,keep,heuristic_default,1.0,False,original_clean,,
93,1,Desconocido,UNKNOWN,16,papa,papa,False,"Bebidas, Aguas y Jugos",Bebidas,1.5 L,UNKNOWN,LOCAL,1.99,1.99,1.99,1.0,False,keep,heuristic_default,1.99,False,original_clean,,
94,1,Desconocido,UNKNOWN,16,papa,papa,False,"Bebidas, Aguas y Jugos",Bebidas,1.5 LT,UNKNOWN,LOCAL,1.99,1.99,1.99,1.0,False,keep,heuristic_default,1.99,False,original_clean,,
103,2,Chedraui,MX,14,cafe,cafe,False,Cafe y te,Legal,180 g,MX,LOCAL,88.0,4.7261,4.7261,18.62,False,keep,heuristic_default,4.7261,False,original_clean,,
104,2,Chedraui,MX,14,cafe,cafe,False,Cafe y te,Los Portales de Córdoba,170g,MX,LOCAL,149.0,8.0021,8.0021,18.62,False,keep,heuristic_default,8.0021,False,original_clean,,
105,2,Chedraui,MX,14,cafe,cafe,False,Cafe y te,Blasón,400g,MX,LOCAL,150.0,8.0559,8.0559,18.62,False,keep,heuristic_default,8.0559,False,original_clean,,
106,2,Chedraui,MX,14,cafe,cafe,False,Cafe y te,Garat,340g,MX,LOCAL,150.0,8.0559,8.0559,18.62,False,keep,heuristic_default,8.0559,False,original_clean,,
107,6,Desconocido,PE,14,cafe,cafe,False,Café e Infusiones,Café Instantáneo,150g,PE,LOCAL,16.92,4.7662,4.7662,3.55,False,keep,heuristic_default,4.7662,False,original_clean,,
108,1,Desconocido,UNKNOWN,14,cafe,cafe,False,Café instantáneo clásico lata,170 g,170 g,UNKNOWN,LOCAL,4.94,4.94,4.94,1.0,False,keep,heuristic_default,4.94,False,original_clean,,
109,1,Desconocido,UNKNOWN,14,cafe,cafe,False,Café instantáneo institucional,400 g,400 g,UNKNOWN,LOCAL,13.09,13.09,13.09,1.0,False,keep,heuristic_default,13.09,False,original_clean,,
