example_id,producto_id,retailer_id,categoria_id,product_country,synthetic,precio_usd_final,precio_median_group,imputation_source,decision,is_price_imputed_model
1,1,1,1,UNKNOWN,,12.8,,original_clean,keep_imputed,False
2,2,1,2,UNKNOWN,,10.0,,original_clean,keep_imputed,False
3,3,1,2,UNKNOWN,,10.0,,original_clean,keep_imputed,False
4,4,1,2,UNKNOWN,,10.0,,original_clean,keep_imputed,False
5,5,1,3,UNKNOWN,,11.0,,original_clean,keep_imputed,False
6,6,1,3,UNKNOWN,,12.0,,original_clean,keep_imputed,False
7,7,1,2,UNKNOWN,,19.0,,original_clean,keep_imputed,False
8,13,1,3,UNKNOWN,,4.0,,original_clean,keep_imputed,False
9,14,1,2,UNKNOWN,,4.0,,original_clean,keep_imputed,False
10,15,1,2,UNKNOWN,,4.0,,original_clean,keep_imputed,False
11,16,1,2,UNKNOWN,,4.0,,original_clean,keep_imputed,False
12,17,1,2,UNKNOWN,,4.0,,original_clean,keep_imputed,False
13,23,1,2,UNKNOWN,,9.0,,original_clean,keep_imputed,False
14,25,1,4,UNKNOWN,,3.0,,original_clean,keep_imputed,False
15,26,1,4,UNKNOWN,,5.0,,original_clean,keep_imputed,False
16,27,1,4,UNKNOWN,,6.0,,original_clean,keep_imputed,False
17,28,1,1,UNKNOWN,,1.31,,original_clean,keep_imputed,False
18,29,1,5,UNKNOWN,,1.54,,original_clean,keep_imputed,False
19,36,1,6,UNKNOWN,,2.0,,original_clean,keep_imputed,False
20,39,2,7,MX,,1.9871,,original_clean,keep,False
21,41,2,7,MX,,1.5038,,original_clean,keep,False
22,43,3,8,BR,,3.6711,,original_clean,keep_imputed,False
23,47,3,10,BR,,3.5775,,original_clean,keep,False
24,48,3,10,BR,,2.2008,,original_clean,keep,False
25,49,3,10,BR,,3.0452,,original_clean,keep,False
26,50,3,11,BR,,1.6318,,original_clean,keep_imputed,False
27,53,3,9,BR,,1.2647,,original_clean,keep,False
28,54,1,10,UNKNOWN,,7.45,,original_clean,keep,False
29,55,4,10,US,,9.99,,original_clean,keep,False
30,58,1,10,UNKNOWN,,1.89,,original_clean,keep,False
31,59,1,10,UNKNOWN,,1.37,,original_clean,keep,False
32,60,1,10,UNKNOWN,,1.02,,original_clean,keep,False
33,61,1,10,UNKNOWN,,1.39,,original_clean,keep,False
34,62,2,10,MX,,1.1278,,original_clean,keep,False
35,63,4,10,US,,2.99,,original_clean,keep,False
36,64,2,10,MX,,1.0634,,original_clean,keep,False
37,83,3,13,BR,,2.935,,original_clean,keep,False
38,86,3,13,BR,,1.8704,,original_clean,keep,False
39,88,6,13,PE,,4.7662,,original_clean,keep,False
