producto_id,retailer_id,retailer,retailer_country,categoria_id,category_raw,category_canonical,category_is_imputed,nombre_producto,marca,unidad,product_country,moneda_local,precio_local,precio_usd,precio_usd_clean,fx_local_per_usd,is_imputed_clean,decision,razon_clean,precio_median_group,precio_usd_imputed,imputation_source
8,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 21),$ 10.550,NaN,UNKNOWN,LOCAL,21.0,21.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
9,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 21),20,NaN,UNKNOWN,LOCAL,21.0,21.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
10,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 23),$ 11.600,NaN,UNKNOWN,LOCAL,23.0,23.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
11,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 29),$ 13.450,NaN,UNKNOWN,LOCAL,29.0,29.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
12,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 34),$ 15.700,NaN,UNKNOWN,LOCAL,34.0,34.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
18,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 45),20,NaN,UNKNOWN,LOCAL,45.0,45.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
19,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 46),$ 7.635,NaN,UNKNOWN,LOCAL,46.0,46.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
20,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 47),20,NaN,UNKNOWN,LOCAL,47.0,47.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
21,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 65),$ 18.100,NaN,UNKNOWN,LOCAL,65.0,65.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
22,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,(Gr a $ 68),$ 14.400,NaN,UNKNOWN,LOCAL,68.0,68.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
24,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Gr a $ 90),$ 21.600,NaN,UNKNOWN,LOCAL,90.0,90.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
30,1,Desconocido,UNKNOWN,1,azucar,sin_categoria,True,(Und a $ 544),20,NaN,UNKNOWN,LOCAL,544.0,544.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
31,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,(Und a $ 750),$ 24.500,NaN,UNKNOWN,LOCAL,750.0,750.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
32,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,+595994 874276,Selecciona método de entrega,580 GR,UNKNOWN,LOCAL,234.19,234.1938,,1.0,True,keep_imputed,no_category_detected;price_parse_failed [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
33,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,+595994 874276,Selecciona método de entrega,700 GR,UNKNOWN,LOCAL,234.19,234.1938,,1.0,True,keep_imputed,no_category_detected;price_parse_failed [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
